id,original_text,text_for_sentiment,aspect,label_for_sentiment
7238,لا يوجد الدفع بالبطاقه عند الاستلام,لا يوجد الدفع بالبطاقه عند الاستلام [ASPECT] app_experience,app_experience,negative
7238,لا يوجد الدفع بالبطاقه عند الاستلام,لا يوجد الدفع بالبطاقه عند الاستلام [ASPECT] delivery,delivery,negative
1036,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رائع بصراحة ❤️❤️❤️❤️,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رايع بصراحة ❤️❤️❤️❤️ [ASPECT] cleanliness,cleanliness,positive
1036,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رائع بصراحة ❤️❤️❤️❤️,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رايع بصراحة ❤️❤️❤️❤️ [ASPECT] ambiance,ambiance,positive
1036,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رائع بصراحة ❤️❤️❤️❤️,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رايع بصراحة ❤️❤️❤️❤️ [ASPECT] service,service,positive
1975,"تجربة سيئة سألتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص
الاكل يعني كويس ولكن كمية قليلة جدا",تجربة سيية سالتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص الاكل يعني كويس ولكن كمية قليلة جدا [ASPECT] service,service,negative
1975,"تجربة سيئة سألتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص
الاكل يعني كويس ولكن كمية قليلة جدا",تجربة سيية سالتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص الاكل يعني كويس ولكن كمية قليلة جدا [ASPECT] delivery,delivery,negative
1975,"تجربة سيئة سألتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص
الاكل يعني كويس ولكن كمية قليلة جدا",تجربة سيية سالتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص الاكل يعني كويس ولكن كمية قليلة جدا [ASPECT] food,food,neutral
3024,احلي مكان فزايد,احلي مكان فزايد [ASPECT] general,general,positive
5483,"الفطير حلو جدا
الاحجام تحفة
بالنسبه للسعر فا يعتبر من احسن الاسعار

البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه
حتس لو طلبتها سميكه هتجيلك رفيعه
انما الحشو تمام و طعم حلو
الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص",الفطير حلو جدا الاحجام تحفة بالنسبه للسعر فا يعتبر من احسن الاسعار البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه حتس لو طلبتها سميكه هتجيلك رفيعه انما الحشو تمام و طعم حلو الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص [ASPECT] food,food,positive
5483,"الفطير حلو جدا
الاحجام تحفة
بالنسبه للسعر فا يعتبر من احسن الاسعار

البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه
حتس لو طلبتها سميكه هتجيلك رفيعه
انما الحشو تمام و طعم حلو
الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص",الفطير حلو جدا الاحجام تحفة بالنسبه للسعر فا يعتبر من احسن الاسعار البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه حتس لو طلبتها سميكه هتجيلك رفيعه انما الحشو تمام و طعم حلو الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص [ASPECT] price,price,positive
8003,لقد حملت تطبيق عن طريق مستر بيست واريد سيارة تيسلا,لقد حملت تطبيق عن طريق مستر بيست واريد سيارة تيسلا [ASPECT] none,none,neutral
1407,"من أجمل المطاعم التي اكلت فيها أكل عربي يمني.
ويتميز المطعم بالإتساع وتعدد الأماكن الخاصةمما يعطيك الإحساس بالراحة انت وعائلتك أو أصدقاؤك .",من اجمل المطاعم التي اكلت فيها اكل عربي يمني. ويتميز المطعم بالاتساع وتعدد الاماكن الخاصةمما يعطيك الاحساس بالراحة انت وعايلتك او اصدقاوك . [ASPECT] food,food,positive
1407,"من أجمل المطاعم التي اكلت فيها أكل عربي يمني.
ويتميز المطعم بالإتساع وتعدد الأماكن الخاصةمما يعطيك الإحساس بالراحة انت وعائلتك أو أصدقاؤك .",من اجمل المطاعم التي اكلت فيها اكل عربي يمني. ويتميز المطعم بالاتساع وتعدد الاماكن الخاصةمما يعطيك الاحساس بالراحة انت وعايلتك او اصدقاوك . [ASPECT] ambiance,ambiance,positive
9273,جميلة,جميلة [ASPECT] general,general,positive
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality
Chef Nawaf is doing his job perfectly 👌🏼
المكان أكثر من رائع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الأكل تحفة، جودة عالية، الشيف نواف لطيف جداً و احترافية ممتازة.","The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly 👌🏼 المكان اكثر من رايع ، النضافة عشرة علي عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة. [ASPECT] ambiance",ambiance,positive
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality
Chef Nawaf is doing his job perfectly 👌🏼
المكان أكثر من رائع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الأكل تحفة، جودة عالية، الشيف نواف لطيف جداً و احترافية ممتازة.","The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly 👌🏼 المكان اكثر من رايع ، النضافة عشرة علي عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة. [ASPECT] cleanliness",cleanliness,positive
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality
Chef Nawaf is doing his job perfectly 👌🏼
المكان أكثر من رائع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الأكل تحفة، جودة عالية، الشيف نواف لطيف جداً و احترافية ممتازة.","The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly 👌🏼 المكان اكثر من رايع ، النضافة عشرة علي عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة. [ASPECT] service",service,positive
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality
Chef Nawaf is doing his job perfectly 👌🏼
المكان أكثر من رائع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الأكل تحفة، جودة عالية، الشيف نواف لطيف جداً و احترافية ممتازة.","The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly 👌🏼 المكان اكثر من رايع ، النضافة عشرة علي عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة. [ASPECT] food",food,positive
2028,"سى جدا جدا جدا
والله والله والله
مفيش مسؤول موجود.
مطعم فاشل فاشل",سي جدا جدا جدا والله والله والله مفيش مسوول موجود. مطعم فاشل فاشل [ASPECT] service,service,negative
5360,الويتر(الذي يأخذ الاوردور) قمة في الغرور.....,الويتر(الذي ياخذ الاوردور) قمة في الغرور.. [ASPECT] service,service,negative
5696,"ان الدكتور خالد من الأطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفائق بمعايير التعقيم. إن كفاءته وإخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماماً. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للإجراءات التي يقوم بها قبل وبعد كل خطوة، بالإضافة إلى تفسيره الوافي لكل التفاصيل. لم أجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية
علاوة على ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقى الهادئة والجميلة التي يحرص الدكتور خالد على تشغيلها دائما

كما اتقدم بخالص الشكر والتقدير للدكتور خالد",ان الدكتور خالد من الاطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفايق بمعايير التعقيم. ان كفاءته واخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماما. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للاجراءات التي يقوم بها قبل وبعد كل خطوة، بالاضافة الي تفسيره الوافي لكل التفاصيل. لم اجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية علاوة علي ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقي الهادية والجميلة التي يحرص الدكتور خالد علي تشغيلها دايما كما اتقدم بخالص الشكر والتقدير للدكتور خالد [ASPECT] service,service,positive
5696,"ان الدكتور خالد من الأطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفائق بمعايير التعقيم. إن كفاءته وإخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماماً. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للإجراءات التي يقوم بها قبل وبعد كل خطوة، بالإضافة إلى تفسيره الوافي لكل التفاصيل. لم أجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية
علاوة على ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقى الهادئة والجميلة التي يحرص الدكتور خالد على تشغيلها دائما

كما اتقدم بخالص الشكر والتقدير للدكتور خالد",ان الدكتور خالد من الاطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفايق بمعايير التعقيم. ان كفاءته واخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماما. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للاجراءات التي يقوم بها قبل وبعد كل خطوة، بالاضافة الي تفسيره الوافي لكل التفاصيل. لم اجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية علاوة علي ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقي الهادية والجميلة التي يحرص الدكتور خالد علي تشغيلها دايما كما اتقدم بخالص الشكر والتقدير للدكتور خالد [ASPECT] cleanliness,cleanliness,positive
